decision_date,decision_month,holding_month,current_state,current_regime,hmm_seed,hmm_score,Bull_count,Neutral_count,Crisis_count,raw_state_mean_return,raw_state_mean_vol,next_regime,next_state
2013-01-31,2013-01-31,2013-02-28,1,Bull,42,-1204.1648538646987,265,331,159,0.0008479137690652799,0.006019566830371173,Neutral,0
2013-02-28,2013-02-28,2013-03-31,0,Neutral,42,-1232.7670381116718,278,337,159,0.000554703844130672,0.009849613087720754,Bull,1
2013-03-28,2013-03-31,2013-04-30,1,Bull,42,-1270.6898546320197,308,319,167,0.0010000777477505317,0.006088383122081255,Neutral,1
2013-04-30,2013-04-30,2013-05-31,1,Neutral,42,-1304.1120105193108,306,306,204,0.000509363344683306,0.009441490121255738,Bull,0
2013-05-31,2013-05-31,2013-06-30,0,Bull,42,-1330.2060613412618,320,314,204,0.0009236595536567546,0.005985533519727111,Neutral,2
2013-06-28,2013-06-30,2013-07-31,2,Neutral,42,-1724.426658055592,115,622,121,0.000748708132344853,0.007556581464543189,Bull,0
2013-07-31,2013-07-31,2013-08-31,0,Bull,42,-1403.952276737851,335,341,204,0.0009040249388498991,0.005975922998972757,Bull,1
2013-08-30,2013-08-31,2013-09-30,1,Bull,42,-1433.9261289216854,352,346,204,0.0006940644331865088,0.005897756399760451,Bull,0
2013-09-30,2013-09-30,2013-10-31,0,Bull,42,-1453.7531727181565,375,343,204,0.0008132279337820581,0.005931104613102206,Bull,1
2013-10-31,2013-10-31,2013-11-30,1,Bull,42,-1495.2533253264482,362,379,204,0.0008188706621226083,0.009389752586864855,Neutral,0
2013-11-29,2013-11-30,2013-12-31,0,Neutral,42,-1515.813861118955,363,398,204,0.0007285370980941449,0.005923927275093679,Neutral,0
2013-12-31,2013-12-31,2014-01-31,0,Neutral,42,-1535.0903994482821,364,418,204,0.0007492049323168004,0.005905606960493957,Neutral,1
2014-01-31,2014-01-31,2014-02-28,1,Neutral,42,-1566.8904398262184,431,372,204,0.0007153490796263888,0.009343804525586507,Bull,1
2014-02-28,2014-02-28,2014-03-31,1,Bull,42,-1597.699934316941,390,432,204,0.0008156986446143349,0.009358308267515991,Neutral,2
2014-03-31,2014-03-31,2014-04-30,2,Neutral,42,-1623.0567440655307,430,453,164,0.000702306294604224,0.005906819573154358,Bull,1
2014-04-30,2014-04-30,2014-05-31,1,Bull,42,-1655.3464634710072,409,455,204,0.00079914467919509,0.00930768965762001,Neutral,0
